Time, Memory,Method
74165,648, POST
71600,648, POST
75758,648, POST
75387,648, POST
73203,648, POST
83622,648, POST
72482,648, POST
74475,656, POST
74376,648, POST
81168,648, POST
75136,648, POST
74055,648, POST
75618,648, POST
84504,648, POST
113096,648, POST
75637,648, POST
128134,648, POST
126942,648, POST
142119,648, POST
125268,648, POST
118596,648, POST
122674,648, POST
122573,648, POST
117584,648, POST
176782,648, POST
116923,648, POST
125759,648, POST
87209,648, POST
80557,648, POST
152037,648, POST
155914,648, POST
80717,648, POST
81669,648, POST
134445,648, POST
78162,648, POST
91897,648, POST
79385,648, POST
83953,648, POST
77972,648, POST
129696,648, POST
84724,648, POST
130487,648, POST
129345,648, POST
71400,648, POST
76129,648, POST
79785,648, POST
80767,648, POST
83773,648, POST
122223,648, POST
71029,648, POST
70318,648, POST
80577,648, POST
70258,648, POST
81749,648, POST
68655,648, POST
68244,648, POST
152688,648, POST
113858,648, POST
114869,648, POST
118516,648, POST
109940,648, POST
111032,648, POST
131770,648, POST
138302,648, POST
120059,648, POST
101996,648, POST
94733,648, POST
115591,648, POST
99361,648, POST
107807,648, POST
110492,648, POST
121422,648, POST
109549,648, POST
109059,648, POST
115771,648, POST
154972,648, POST
65950,648, POST
68294,648, POST
78212,648, POST
118997,648, POST
138252,648, POST
107857,648, POST
82821,648, POST
164590,648, POST
86598,648, POST
67704,648, POST
83482,648, POST
81077,648, POST
142920,648, POST
111222,648, POST
114058,648, POST
107986,648, POST
119648,648, POST
106454,648, POST
135216,648, POST
107776,648, POST
67803,648, POST
125910,648, POST
153510,648, POST
122724,648, POST
111864,648, POST
119899,648, POST
125239,648, POST
113276,648, POST
70789,648, POST
78283,648, POST
84403,648, POST
71120,648, POST
74065,648, POST
68415,648, POST
73324,648, POST
73424,648, POST
73914,648, POST
80867,648, POST
74646,648, POST
71861,648, POST
82510,648, POST
83212,648, POST
76139,648, POST
82350,648, POST
71140,648, POST
73885,648, POST
81548,648, POST
75998,648, POST
68986,648, POST
114278,648, POST
70248,648, POST
69066,648, POST
75557,648, POST
74185,648, POST
82340,648, POST
73684,648, POST
72362,648, POST
73695,648, POST
75087,648, POST
83622,648, POST
75217,648, POST
68675,648, POST
74335,648, POST
111984,648, POST
69617,648, POST
72592,648, POST
68925,648, POST
68003,648, POST
108167,648, POST
127673,648, POST
116733,648, POST
73714,648, POST
69216,648, POST
77311,648, POST
73123,648, POST
117103,648, POST
78493,648, POST
103439,648, POST
86367,648, POST
82570,648, POST
129606,648, POST
158448,648, POST
105783,648, POST
107656,648, POST
114819,648, POST
136839,648, POST
81238,648, POST
119237,648, POST
189856,648, POST
151947,648, POST
167275,648, POST
232123,648, POST
113688,648, POST
164620,648, POST
136098,648, POST
143050,648, POST
131550,648, POST
112124,648, POST
156425,648, POST
125488,648, POST
136679,648, POST
143922,648, POST
124497,648, POST
117113,648, POST
103208,648, POST
128794,648, POST
81879,648, POST
68816,648, POST
163528,648, POST
105122,648, POST
127032,648, POST
129355,648, POST
174177,648, POST
113908,648, POST
103709,648, POST
142420,648, POST
121160,648, POST
79474,648, POST
73444,648, POST
68144,648, POST
135787,648, POST
114368,648, POST
111493,648, POST
120830,648, POST
111533,648, POST
121722,648, POST
117674,648, POST
79205,648, POST
77652,648, POST
77160,648, POST
92608,648, POST
78814,648, POST
78152,648, POST
83723,648, POST
84424,648, POST
81188,704, POST
80106,648, POST
80046,648, POST
79004,648, POST
77531,648, POST
77752,648, POST
78193,648, POST
79795,648, POST
75838,648, POST
79615,648, POST
77721,648, POST
82500,648, POST
78723,648, POST
82270,648, POST
79665,648, POST
79675,648, POST
78203,648, POST
78753,648, POST
78563,648, POST
78152,648, POST
79915,648, POST
77180,648, POST
79064,648, POST
82881,648, POST
78052,648, POST
80958,648, POST
78744,648, POST
74706,648, POST
78082,648, POST
77822,648, POST
133122,648, POST
140135,648, POST
104350,648, POST
82430,648, POST
80146,648, POST
79785,648, POST
78423,648, POST
94663,648, POST
123726,648, POST
125168,648, POST
122894,648, POST
88401,648, POST
79515,648, POST
163478,648, POST
113217,648, POST
136088,648, POST
128544,648, POST
126711,648, POST
73213,648, POST
96626,648, POST
73054,648, POST
70349,648, POST
86608,648, POST
72282,648, POST
75758,648, POST
155694,648, POST
55361,648, POST
68755,648, POST
53007,648, POST
71080,648, POST
132261,648, POST
116402,648, POST
128003,648, POST
129225,648, POST
125860,648, POST
117785,648, POST
112224,648, POST
79185,648, POST
88361,648, POST
67833,648, POST
90906,648, POST
59478,648, POST
122953,648, POST
107005,648, POST
98099,648, POST
170200,648, POST
130017,648, POST
113547,648, POST
170431,648, POST
116212,648, POST
128023,648, POST
80787,648, POST
104640,648, POST
126451,648, POST
73725,648, POST
78323,648, POST
78373,648, POST
81067,648, POST
127672,648, POST
125128,648, POST
130468,648, POST
116753,648, POST
140316,648, POST
114469,648, POST
137500,648, POST
114739,648, POST
119447,648, POST
203451,648, POST
123445,648, POST
114779,648, POST
121501,648, POST
80697,648, POST
71641,648, POST
72572,648, POST
72993,648, POST
129977,648, POST
73644,648, POST
75889,648, POST
72041,648, POST
123425,648, POST
79805,648, POST
75388,648, POST
75247,648, POST
71811,648, POST
87389,648, POST
77281,648, POST
134585,648, POST
172595,648, POST
130598,648, POST
128655,648, POST
129145,648, POST
127202,648, POST
129917,648, POST
74726,648, POST
127132,648, POST
126050,648, POST
147919,648, POST
128424,648, POST
128004,648, POST
128214,648, POST
131069,648, POST
124678,648, POST
169770,648, POST
69467,648, POST
71540,648, POST
75498,648, POST
68936,648, POST
67232,648, POST
71020,648, POST
69627,648, POST
80998,648, POST
68995,648, POST
114689,648, POST
75578,648, POST
59909,648, POST
70308,648, POST
114418,648, POST
112625,648, POST
69988,648, POST
71149,648, POST
68785,648, POST
72943,648, POST
75678,648, POST
130347,648, POST
77531,648, POST
72152,648, POST
47156,648, POST
73794,648, POST
73984,648, POST
47677,648, POST
75758,648, POST
121662,648, POST
72432,648, POST
75247,648, POST
120049,648, POST
75127,648, POST
74866,648, POST
75758,648, POST
75227,648, POST
73704,648, POST
78012,648, POST
193873,648, POST
193091,648, POST
142359,648, POST
120389,648, POST
91267,648, POST
138713,648, POST
148901,648, POST
67112,648, POST
45704,648, POST
96225,648, POST
166233,648, POST
117765,648, POST
95173,648, POST
200766,648, POST
129516,648, POST
78574,648, POST
77601,648, POST
72753,648, POST
77291,648, POST
76569,648, POST
72281,648, POST
76489,648, POST
76920,648, POST
72662,648, POST
76529,648, POST
78964,648, POST
86387,648, POST
71610,648, POST
79585,648, POST
118897,648, POST
76810,648, POST
83753,648, POST
77080,648, POST
70338,648, POST
86357,648, POST
77131,648, POST
69467,648, POST
80597,648, POST
112876,648, POST
121000,648, POST
82290,648, POST
74436,648, POST
72522,648, POST
76479,648, POST
77892,648, POST
75918,648, POST
74455,648, POST
75408,648, POST
73424,648, POST
73073,648, POST
74826,648, POST
82250,648, POST
81648,648, POST
129937,648, POST
80086,648, POST
80858,648, POST
80606,648, POST
84704,648, POST
80236,648, POST
133373,648, POST
161174,648, POST
140296,648, POST
174367,648, POST
124838,648, POST
122603,648, POST
122453,648, POST
129155,648, POST
118636,648, POST
113797,648, POST
119448,648, POST
112234,648, POST
120410,696, POST
116352,648, POST
190147,648, POST
115089,648, POST
142550,648, POST
122143,648, POST
122694,648, POST
115260,648, POST
134966,648, POST
78333,648, POST
76950,648, POST
75828,648, POST
141227,648, POST
157447,648, POST
119287,648, POST
102247,648, POST
55210,648, POST
111533,648, POST
125799,648, POST
147579,648, POST
125248,648, POST
135016,648, POST
92709,648, POST
114058,648, POST
68736,648, POST
89733,648, POST
76139,648, POST
75047,648, POST
72522,648, POST
75758,648, POST
47747,648, POST
73383,648, POST
77852,648, POST
77922,648, POST
96566,648, POST
49260,648, POST
90194,648, POST
46785,648, POST
140385,648, POST
81579,648, POST
53338,648, POST
77771,648, POST
93791,648, POST
78322,648, POST
180929,648, POST
131579,648, POST
77452,648, POST
80887,648, POST
82370,648, POST
82771,648, POST
83452,648, POST
129506,648, POST
154461,648, POST
130658,648, POST
149332,648, POST
130167,648, POST
80016,648, POST
92669,648, POST
78032,648, POST
72502,648, POST
91797,648, POST
142069,648, POST
136399,648, POST
118296,648, POST
123064,648, POST
116462,648, POST
120790,648, POST
117995,648, POST
137060,648, POST
128985,648, POST
143502,648, POST
130027,648, POST
130909,648, POST
129025,648, POST
137882,648, POST
131109,648, POST
123014,648, POST
132932,648, POST
72272,648, POST
72161,648, POST
75036,648, POST
56713,648, POST
125078,648, POST
134045,648, POST
131509,648, POST
122373,648, POST
78063,648, POST
72973,648, POST
70518,648, POST
79905,648, POST
73244,648, POST
124617,648, POST
120680,648, POST
111564,648, POST
143121,648, POST
131098,648, POST
158478,648, POST
132331,648, POST
154362,648, POST
129666,648, POST
139133,648, POST
170060,648, POST
171353,648, POST
127222,648, POST
131961,648, POST
130979,648, POST
131098,648, POST
133042,648, POST
124938,648, POST
121190,648, POST
121081,648, POST
109099,648, POST
74215,648, POST
73454,648, POST
79234,648, POST
85956,648, POST
77471,648, POST
76719,648, POST
70489,648, POST
84244,648, POST
83973,648, POST
80467,648, POST
86598,648, POST
49330,648, POST
127252,648, POST
78603,648, POST
168026,648, POST
138092,648, POST
121902,648, POST
126531,648, POST
134214,648, POST
249094,648, POST
119077,648, POST
118326,648, POST
121622,648, POST
116072,648, POST
107004,648, POST
84284,648, POST
65660,648, POST
106694,648, POST
93119,648, POST
61122,648, POST
74306,648, POST
72081,648, POST
82581,648, POST
78313,648, POST
67543,648, POST
67794,648, POST
83993,648, POST
80537,648, POST
79956,648, POST
82300,648, POST
81208,648, POST
90114,648, POST
81488,648, POST
85876,648, POST
123615,648, POST
135427,648, POST
121391,648, POST
121161,648, POST
126911,648, POST
125959,648, POST
123424,648, POST
137080,648, POST
130418,648, POST
131710,648, POST
123655,648, POST
113948,648, POST
138392,648, POST
78132,648, POST
75427,648, POST
103589,648, POST
77742,648, POST
74997,648, POST
74726,648, POST
137079,648, POST
72993,648, POST
80968,648, POST
72401,648, POST
76148,648, POST
120479,648, POST
194184,648, POST
125899,648, POST
119999,648, POST
118305,648, POST
116653,648, POST
116903,648, POST
124777,648, POST
84294,648, POST
74335,648, POST
83231,648, POST
92439,648, POST
104721,648, POST
74817,648, POST
74375,648, POST
79985,648, POST
74516,648, POST
86517,648, POST
127953,648, POST
148210,648, POST
135136,648, POST
159560,648, POST
201166,648, POST
117905,648, POST
156746,648, POST
131790,648, POST
174067,648, POST
132191,648, POST
142370,648, POST
157728,648, POST
143311,648, POST
155844,648, POST
80557,648, POST
78413,648, POST
75768,648, POST
81538,648, POST
76981,648, POST
73093,648, POST
54129,648, POST
72222,648, POST
84314,648, POST
137230,648, POST
171803,648, POST
168507,648, POST
114649,648, POST
143111,648, POST
88391,648, POST
94472,648, POST
73423,648, POST
72573,648, POST
109510,648, POST
43339,648, POST
135487,648, POST
167986,648, POST
168427,648, POST
201898,648, POST
181500,648, POST
183354,648, POST
137451,648, POST
163578,648, POST
177023,648, POST
150895,648, POST
157928,648, POST
279829,648, POST
102076,648, POST
72261,648, POST
125608,648, POST
73694,648, POST
81408,648, POST
70408,648, POST
134194,648, POST
122032,648, POST
118787,648, POST
119528,648, POST
121432,648, POST
117544,648, POST
119918,648, POST
142690,648, POST
120209,648, POST
141728,648, POST
118727,648, POST
141027,648, POST
116492,648, POST
133443,648, POST
115962,648, POST
115461,648, POST
119477,648, POST
145535,648, POST
132371,648, POST
117184,648, POST
116642,648, POST
118606,648, POST
139334,648, POST
132913,648, POST
130137,648, POST
117394,648, POST
179307,648, POST
134585,648, POST
141508,648, POST
132712,648, POST
151536,648, POST
103880,648, POST
83572,648, POST
82571,648, POST
81970,648, POST
79144,648, POST
78072,648, POST
118456,648, POST
152047,648, POST
119618,648, POST
75137,648, POST
131159,648, POST
84274,648, POST
96505,648, POST
74306,648, POST
120449,648, POST
120971,648, POST
135157,648, POST
134014,648, POST
118827,648, POST
81078,648, POST
78674,648, POST
120400,648, POST
229257,648, POST
152908,648, POST
120489,648, POST
77632,648, POST
138453,648, POST
75348,648, POST
78734,648, POST
80587,648, POST
79916,648, POST
74957,648, POST
129255,648, POST
143431,648, POST
142540,648, POST
150123,648, POST
121571,648, POST
188474,648, POST
173166,648, POST
155283,648, POST
156154,648, POST
174467,648, POST
170280,648, POST
166042,648, POST
142269,648, POST
154481,648, POST
162977,648, POST
181541,648, POST
94402,648, POST
96226,648, POST
202929,648, POST
83873,648, POST
76309,648, POST
74957,648, POST
75568,648, POST
82811,648, POST
78553,648, POST
79615,648, POST
84855,648, POST
80717,648, POST
78744,648, POST
125188,648, POST
90225,648, POST
213479,648, POST
156325,648, POST
186900,648, POST
230761,648, POST
164861,648, POST
154631,648, POST
88371,648, POST
80557,648, POST
86928,648, POST
92409,648, POST
87810,648, POST
101555,648, POST
91216,648, POST
97828,648, POST
86046,648, POST
86998,648, POST
77722,648, POST
135226,648, POST
124477,648, POST
74656,648, POST
122032,648, POST
129866,648, POST
83011,648, POST
118356,648, POST
81168,648, POST
79876,648, POST
119799,648, POST
129465,648, POST
140456,648, POST
87911,648, POST
129236,648, POST
120920,648, POST
75748,648, POST
78292,648, POST
73805,648, POST
124146,648, POST
137220,648, POST
112976,648, POST
78813,648, POST
123014,648, POST
78132,648, POST
79425,648, POST
77100,648, POST
139354,648, POST
92348,648, POST
85436,648, POST
85406,648, POST
122062,648, POST
150244,648, POST
144152,648, POST
147118,648, POST
139334,648, POST
137511,648, POST
122543,648, POST
118937,648, POST
136238,648, POST
135837,648, POST
122713,648, POST
126511,648, POST
126731,648, POST
122003,648, POST
126942,648, POST
121181,648, POST
149973,648, POST
119407,648, POST
120289,648, POST
127432,648, POST
86287,648, POST
133794,648, POST
175910,648, POST
102086,648, POST
116933,648, POST
123485,648, POST
109470,648, POST
105573,648, POST
116452,648, POST
135466,648, POST
118025,648, POST
133353,648, POST
83873,648, POST
69266,648, POST
97498,648, POST
77541,648, POST
91486,648, POST
85175,648, POST
72823,648, POST
94242,648, POST
50662,648, POST
136930,648, POST
129656,648, POST
123596,648, POST
146887,648, POST
127863,648, POST
141287,648, POST
166143,648, POST
121401,648, POST
121741,648, POST
153400,648, POST
128364,648, POST
265293,648, POST
90976,648, POST
82711,648, POST
46074,648, POST
86147,648, POST
63666,648, POST
69787,648, POST
131510,648, POST
78272,648, POST
158568,648, POST
121101,648, POST
130398,648, POST
147939,648, POST
127953,648, POST
85095,648, POST
82060,648, POST
100283,648, POST
135026,648, POST
122032,648, POST
118295,648, POST
120058,648, POST
118976,648, POST
118917,648, POST
121681,648, POST
126391,648, POST
122213,648, POST
120529,648, POST
94893,648, POST
77140,648, POST
78172,648, POST
